case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,Hold4TwoStage_e20_style_specificity,Hold4TwoStage_e20_structure_preservation,Hold4TwoStage_e20_artifact_control,Hold4TwoStage_e20_note
Impressionism__claude-monet_bordighera-the-house-of-gardener__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,1,Severe structural collapse and heavy artifacting; style is vague and not clearly Rococo.,5,5,5,"Excellent preservation of source structure with strong Rococo stylistic elements (ornate frame, soft palette, painterly texture). Minimal artifacts.",3,2,2,Moderate style attempt but significant structural distortion and visible artifacts; lacks clarity and coherence.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy dark vignetting and smudged textures obscure content; style is vague and inconsistent with Rococo elegance.,5,5,5,"Excellent Rococo styling with ornate frame, soft pastel tones, and faithful preservation of source composition and figures.",3,2,2,Partial style transfer with rocky texture overlay distorting anatomy; structure compromised and artifacts prominent.
Minimalism__robert-ryman_conversion-2003__to__Minimalism,Minimalism,Minimalism,Hold4TwoStage_e20,Hold4TwoStage_e20,Hold4TwoStage_e20,Hold4TwoStage_e20,5,2,1,2,Almost completely blank; no structure or style transferred. Fails to preserve source content or apply minimalism.,3,2,3,Preserves beige tone and frame but lacks structural detail from source. Minimalist aesthetic partially achieved with minor artifacts.,5,5,5,"Perfectly preserves source structure (frame, dots) while applying clean, minimalist aesthetic. No artifacts, ideal style transfer."
Rococo__thomas-gainsborough_a-coastal-landscape-1782__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly hazy and washed-out; loses both Renaissance texture and structural clarity. Style transfer is weak and blurry.,5,5,5,Excellent match to Early Renaissance palette and brushwork while preserving original composition and details. Clean output with no visible artifacts.,3,3,2,Some stylistic influence but overly diffuse and smudged. Structure is partially preserved but lacks definition. Artifacts from over-smoothing.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; output appears faded and lacks impressionistic brushwork. Structure is somewhat preserved but washed out. Significant artifacts from over-smoothing or failed style injection.,5,5,5,"Excellent impressionistic style with visible brushstrokes and color blending matching the target. Structure of the king’s face, beard, and crown is perfectly preserved. No visible artifacts; clean and coherent output.",3,4,3,"Moderate impressionistic style applied, but overly diffuse and hazy. Structure is mostly preserved but softened excessively. Some blurring and loss of detail indicate mild artifacting from the two-stage process."
Minimalism__yves-gaucher_traces-2000__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,"Completely fails to apply Rococo style; output is a blurred, indistinct rectangle with no stylistic or structural fidelity.",5,5,5,"Perfectly applies Rococo ornamental border style while preserving the source’s horizontal line structure. Clean, artifact-free, and highly specific.",2,3,2,Shows faint Rococo-like color washes and soft edges but lacks defined ornamentation. Structure is partially preserved but heavily blurred; minor artifacts present.
Minimalism__imi-knoebel_weiss-und-schwarz-4-2009__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; grayscale gradient replaces black/white but lacks Ukiyo-e texture or color. Structure preserved well. Some soft artifacts in shading.,5,5,5,"Excellent Ukiyo-e style: aged paper texture, ink wash gradients, subtle line work. Structure perfectly preserved. No visible artifacts.",1,3,2,Very weak style transfer; mostly blurred white shapes on off-white background. Structure partially lost due to blurring. Heavy artifacts and loss of definition.
Ukiyo_e__kitagawa-utamaro_the-hour-of-the-horse__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very low style transfer; appears washed out and lacks Ukiyo-e characteristics. Structure is preserved but colors are muted.,5,5,5,Excellent transfer of the Ukiyo-e style with strong color fidelity and sharp structural preservation. No visible artifacts.,3,3,2,Shows some color transfer but is blurry and lacks detail. Structure is somewhat distorted and artifacts are visible.
Impressionism__john-singer-sargent_lake-in-the-tyrol__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate impressionistic brushwork but overly washed-out colors and low contrast; structure is preserved but lacks vibrancy.,5,5,5,"Excellent impressionist style with rich color, visible brushstrokes, and strong structural fidelity to source; minimal artifacts.",2,3,2,Very blurry and over-smoothed; loses fine detail and texture; impressionist intent is weak due to excessive diffusion or blur.
Minimalism__brice-marden_joined-2011__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; mostly preserves source structure but lacks Renaissance aesthetic. Some color bleeding and flat appearance.,5,5,5,Excellent Early Renaissance style infusion with rich textures and palette. Structure preserved perfectly. No visible artifacts.,3,4,2,Some stylistic elements present but washed out. Structure mostly intact. Noticeable blurring and smudging artifacts.
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; minimal Rococo detail or ornamentation; structure preserved but heavily degraded by blur.,5,5,5,Excellent Rococo framing and ornamental details; source portrait structure perfectly preserved; no visible artifacts.,2,2,1,Severe structural distortion and heavy artifacts around head/shoulders; style elements are vague and inconsistent.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Very faint impressionistic washes; structure preserved but style is weak and indistinct.,5,5,5,Strong Impressionist brushwork and color harmony; source composition faithfully retained with no visible artifacts.,2,2,2,"Overly blurred and washed-out; both style and structure are poorly preserved, with heavy smoothing artifacts."
Impressionism__rudolf-schweitzer-cumpana_str-du-n-atena__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly bright and washed-out; lacks Rococo elegance and detail; heavy artifacts and loss of texture.,5,5,5,"Excellent Rococo styling with soft pastels, ornate details, and faithful structure; minimal artifacts.",3,3,2,Some Rococo color hints but overly abstracted; structure blurred; noticeable smudging and noise.
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,"Faint, washed-out style; lacks Ukiyo-e boldness and line work. Structure mostly preserved but colors are muted and indistinct.",5,5,5,"Strong Ukiyo-e aesthetic with clear linework, stylized figures, and appropriate color palette. Excellent structure retention and minimal artifacts.",3,4,2,Some stylistic elements present but overly blurred and hazy. Significant loss of detail and edge definition; artifacts from over-smoothing.
Minimalism__john-mclaughlin_number-4__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Overly desaturated and washed-out; loses the bold minimalism of the target. Structure is preserved but color fidelity is poor.,5,5,5,"Perfectly captures the minimalist aesthetic with clean edges, accurate color reproduction, and no visible artifacts. Best overall result.",3,4,4,"Good structure and moderate style transfer, but colors are slightly muted compared to the target. Minor softness in edges."
Impressionism__edgar-degas_study-of-gentile-bellini-1855__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Faint, washed-out output with minimal Ukiyo-e characteristics; structure is preserved but style is nearly absent.",5,5,5,"Excellent Ukiyo-e style transfer with clear line work, color palette, and hat texture; structure perfectly preserved with no artifacts.",3,4,3,"Some Ukiyo-e influence visible in coloring and shading, but overly diffuse and blurry; structure is mostly intact but lacks crispness."
Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out style; lacks Ukiyo-e characteristics. Structure is preserved but overly blurred. Heavy artifacts and low contrast.",5,5,5,"Excellent Ukiyo-e style transfer with bold lines, flat color areas, and stylized sky. Structure is well-preserved. Minimal artifacts.",1,2,1,Extremely blurry and indistinct. No discernible Ukiyo-e style. Structure is heavily degraded. Severe artifacts and loss of detail.
Rococo__maurice-quentin-de-la-tour_marie-josephe-of-saxony-1__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and hazy; minimalism not clearly expressed, structure lost in diffusion-like noise.",5,5,5,"Clean vector-style minimalism with sharp edges, flat colors, and preserved composition — excellent match to target style.",2,3,2,"Similar to C — soft blur dominates, lacks crisp minimalism, structure partially retained but obscured by artifacts."
Minimalism__joan-hernandez-pijuan_untitled-120-1999__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,Seedream_repaired750,4,2,5,4,Preserves structure perfectly but lacks Ukiyo-e style; appears as a sketch with minimal color or texture.,5,4,5,Strong Ukiyo-e aesthetic with warm tones and stylized lines; minor structural softening but overall clean and faithful.,3,3,2,"Shows some Ukiyo-e influence but with heavy artifacts, noise, and distorted structure; inconsistent quality."
Minimalism__yves-gaucher_traces-2000__to__Minimalism,Minimalism,Minimalism,Hold4TwoStage_e20,Hold4TwoStage_e20,Seedream_repaired750,Hold4TwoStage_e20,4,2,3,2,Overly blurred and washed out; loses structural detail and minimalism intent.,3,5,4,Preserves line structure well; slight color bleed but clean overall.,5,4,5,Cleanest minimalism output; preserves line with no artifacts or distortion.
Rococo__joseph-wright_d-ewes-coke-his-wife-hannah-and-daniel-parker-coke__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Early Renaissance style transfer with visible haze and color desaturation; structure mostly preserved but faces and details are softened.,5,5,5,Excellent Early Renaissance style match with rich palette and texture; structure fully preserved; minimal artifacts or distortion.,2,2,2,Poor style transfer — appears washed out and abstracted; significant structural distortion and loss of detail; high artifact presence.
Impressionism__william-merritt-chase_gray-day-on-the-lagoon-a-passenger-boat-venice__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal Rococo influence; mostly preserves source structure with slight texture overlay. Lacks ornamental or color traits of Rococo.,5,5,5,"Excellent Rococo styling: soft pastel palette, ornate frame, delicate brushwork, and preserved composition. No visible artifacts.",3,3,2,"Some Rococo-like softness and color shifts, but heavy blurring and loss of detail degrade structure. Artifacts from over-smoothing."
Rococo__jean-marc-nattier_portrait-of-louis-tocqu-1762__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed out; style transfer is weak and indistinct, with heavy vignetting and loss of detail.",5,5,5,"Excellent Rococo style integration with ornate frame, soft lighting, and color palette matching the target. Structure and facial features are well preserved with minimal artifacts.",3,3,2,Some Rococo elements present but overly hazy and smudged; significant artifacts around the face and background reduce clarity and fidelity.
Ukiyo_e__utagawa-kuniyoshi_kuzunoha__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Ukiyo-e style transfer with visible color bleeding and slight structural distortion; lacks crisp line work and depth.,5,5,5,"Excellent fidelity to Ukiyo-e aesthetics — bold outlines, flat color planes, and traditional composition preserved with minimal artifacts.",2,3,2,"Weak style transfer; colors are washed out, lines are blurred, and structural integrity is compromised by heavy smoothing and noise."
Impressionism__edgar-degas_study-of-gentile-bellini-1855__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves facial structure well but lacks Renaissance color and texture; appears as a faded sketch with minimal stylistic transfer.,5,5,5,"Excellent match to Early Renaissance portraiture: rich colors, soft chiaroscuro, fur hat texture, and painterly brushwork while preserving original pose and expression.",1,2,1,"Severely degraded output; face is fragmented and indistinct, no coherent style applied, heavy artifacts and loss of structural integrity."
Ukiyo_e__utagawa-kuniyoshi_ishiyakushi__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy texture and noise obscure style; structure partially preserved but distorted by artifacts.,5,5,5,"Excellent Rococo style transfer with clean lines, soft colors, and full structural fidelity to source.",3,2,2,Partial style adoption but significant warping and loss of detail; artifacts degrade overall quality.
Minimalism__robert-mangold_untitled-fcpa-1995__to__Minimalism,Minimalism,Minimalism,Hold4TwoStage_e20,Hold4TwoStage_e20,Seedream_repaired750,Hold4TwoStage_e20,4,2,4,3,Fails to capture minimalism; retains source colors and adds noisy texture artifacts.,3,5,4,"Excellent structure preservation but fails to apply the target style, retaining original colors.",5,4,5,Best overall; successfully applies the minimalist style with clean execution and good structure.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint impressionistic wash; structure is blurred but recognizable; heavy ghosting and low contrast reduce clarity.,5,5,5,Strong impressionist brushwork and color palette; excellent preservation of figure pose and background elements; clean output with no visible artifacts.,3,3,3,Moderate impressionist feel with soft edges; structure is somewhat preserved but washed out; mild blurring and low saturation reduce impact.
Ukiyo_e__utagawa-kunisada_not_detected_240353__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy Rococo-style wash and blur; structure is partially preserved but heavily distorted by stylistic over-application.,5,5,5,Excellent Rococo style transfer with clear preservation of original composition and minimal artifacts.,3,3,3,"Moderate Rococo influence with some structural loss and visible artifacts, particularly in background areas."
Ukiyo_e__utagawa-kunisada_not_detected_240353__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; impressionistic texture is present but lacks definition. Structure is partially preserved but heavily degraded by noise and smearing.,5,5,5,Excellent impressionistic brushwork applied while maintaining clear structural integrity of the original scene. No visible artifacts or distortions.,3,2,2,"Shows some impressionistic color blending but suffers from significant over-saturation and color bleeding artifacts. Structure is distorted, especially in the background."
Ukiyo_e__utagawa-kunisada_the-actor__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; output is overly washed out and lacks stylistic intent. Structure is partially preserved but blurred.,5,5,5,"Perfectly balances minimalism with source structure. Clean, artifact-free, and faithful to both style and content.",3,4,3,Moderate minimalism applied; structure is mostly preserved but with noticeable fogging and loss of detail. Artifacts present in background.
Rococo__giovanni-domenico-tiepolo_christ-s-fall-on-the-way-to-calvary-1772__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo style transfer; image appears washed out and lacks ornamental detail. Structure is somewhat preserved but blurred. Heavy vignetting and loss of color fidelity introduce artifacts.,5,5,5,"Excellent Rococo style transfer with soft pastel tones, delicate brushwork, and ornate framing elements. Structure is well-preserved with clear figures and composition. No visible artifacts; clean and polished output.",3,2,1,Partial Rococo influence in color palette but lacks stylistic coherence. Structure is heavily distorted with blocky artifacts and missing regions. Severe fragmentation and noise degrade quality significantly.
Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; impressionistic texture is present but lacks color vibrancy and brushwork definition. Structure is partially preserved but heavily degraded by noise-like artifacts.,5,5,5,"Excellent impressionistic rendering with visible brushstrokes, vibrant colors, and atmospheric lighting. Source structure (figure, horse, background) is well-preserved with minimal artifacts. Best overall match to target style while retaining content.",3,4,3,Moderate impressionistic effect with soft edges and muted tones. Structure is mostly intact but suffers from smudging and loss of fine detail. Some color bleeding and haloing around edges reduce artifact control.
Early_Renaissance__pisanello_stork-1430__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves bird structure well but lacks Renaissance style; appears as a faded sketch with no stylistic elements.,5,5,5,"Excellent match to Early Renaissance style with proper coloring, shading, and aged paper texture; structure fully preserved.",1,2,2,"Severely degraded output; bird is barely visible, structure lost, and no stylistic rendering applied."
Rococo__bernardo-bellotto_view-of-dresden-the-dresden-fortifications-moat-with-a-bridge-between-gate-and-post-mile-pillar__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very faint, washed-out style; lacks color and line definition of Ukiyo-e. Structure is preserved but overly blurred.",5,5,5,"Excellent Ukiyo-e style transfer with bold lines, flat color blocks, and traditional composition. Structure is well-preserved and artifacts are minimal.",1,2,1,"Extremely faded and low-contrast output. Style is nearly absent, structure is obscured, and heavy artifacts (blurring, noise) dominate."
Ukiyo_e__kitagawa-utamaro_upon-my-oath__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Retains source structure but fails to apply Renaissance style; appears as a faded sketch with no stylistic transformation.,5,5,5,Excellent fusion: source pose and composition preserved while fully rendering in Early Renaissance painterly style with rich textures and lighting.,3,2,2,"Shows some Renaissance color palette and brushwork but suffers from heavy blurring, loss of detail, and structural distortion."
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses both style texture and structural detail. Minimal impressionistic brushwork visible.,5,5,5,"Excellent impressionistic rendering with visible brushstrokes, color blending, and atmospheric effects. Structure of source scene preserved clearly.",3,4,3,Moderate impressionistic feel but overly smoothed; lacks dynamic brushwork. Structure retained but style application is weak and uniform.
Ukiyo_e__utagawa-kuniyoshi_a-record-of-origins-of-the-great-country-of-japan__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Hold4TwoStage_e20,Seedream_repaired750,4,2,3,2,Minimal style transfer; retains source sketchiness with no Renaissance coloring or texture. Structure preserved but lacks artistic refinement.,5,4,5,"Strong Early Renaissance style: rich colors, chiaroscuro, and painterly texture. Structure well-preserved with minor smoothing artifacts in wave area.",3,5,4,"Good structural fidelity and clean output, but style is muted — lacks the gold leaf, symbolic composition, and depth of Early Renaissance. Slight over-smoothing in sky/wave."
Minimalism__dan-flavin_greens-crossing-greens-to-piet-mondrian-who-lacked-green-1966__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very faint, washed-out style transfer; structure preserved but lacks Renaissance texture/color depth; mild blur artifacts.",5,5,5,Excellent Early Renaissance style match with appropriate color palette and texture; structure perfectly preserved; no visible artifacts.,3,3,2,Partial style application with smudged edges and dark smearing artifacts; structure partially distorted; inconsistent style rendering.
Ukiyo_e__utagawa-kunisada_the-actor__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very weak Rococo style transfer; appears as a faded, overexposed version of the source with minimal stylistic adaptation. Structure is preserved but lacks detail and color fidelity. Heavy artifacts from over-processing.",5,5,5,"Excellent Rococo style integration: soft pastel tones, ornate framing, and painterly texture match the target reference. Source structure (figures, composition) is perfectly preserved. No visible artifacts; clean output.",3,4,2,"Moderate Rococo influence with some decorative borders and muted colors, but style is inconsistent and partially overwritten by source details. Structure is mostly intact but suffers from heavy edge artifacts and blotchy regions."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,Strong minimalism with bold flat colors and simplified forms; excellent structure retention and no visible artifacts.,3,3,2,"Some minimalism via color blocking, but heavy haze and smudging degrade clarity and introduce artifacts."
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears faded and washed out with minimal stylistic influence from Early Renaissance. Structure is preserved but lacks artistic rendering. Heavy artifacts and loss of detail.,5,5,5,"Excellent style transfer with clear Early Renaissance characteristics: soft lighting, warm palette, painterly texture, and compositional harmony. Structure is perfectly preserved with no visible artifacts.",3,4,3,"Moderate style transfer with some Renaissance-like tones and textures, but overly hazy and blurry. Structure is mostly intact but suffers from smudging and loss of fine detail. Artifacts include uneven blending and ghosting."
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,4,3,Preserves source sketch structure well but fails to apply Impressionist style; appears as faded line art with no color or brushwork.,5,5,5,"Excellent Impressionist rendering with visible brushstrokes, warm palette, and soft edges while perfectly preserving the bear’s pose and composition.",2,3,2,Shows faint traces of Impressionist texture but is overly washed out and lacks definition; structure is blurred and artifacts from over-smoothing are evident.
Rococo__antoine-watteau_the-delicate-musician__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Soft, hazy rendering with minimal geometric simplification; fails to capture minimalism’s clean lines and flat planes. Structure is loosely preserved but blurred.",5,5,5,"Excellent minimalism: bold geometric shapes, flat color fields, simplified forms, and strong compositional clarity. Faithful to source pose and object placement.",1,2,2,Overly diffuse and foggy; lacks definition or stylistic intent. Structure is nearly lost in blur; no clear minimalism applied.
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style specificity; appears washed out and lacks Ukiyo-e characteristics. Structure is somewhat preserved but blurred. High artifacts due to over-smoothing and loss of detail.,5,5,5,"Excellent Ukiyo-e style transfer with clear linework, flat color areas, and compositional elements matching the target. Source structure (girl, dog, basket, landscape) is well preserved. Minimal artifacts; clean and coherent output.",2,2,1,"Poor style transfer — no discernible Ukiyo-e traits. Structure is heavily distorted and ghosted. Severe artifacts including smearing, color bleeding, and loss of form. Unusable for research purposes."
Impressionism__eugene-boudin_the-port-ships-at-dock__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint Ukiyo-e influence; mostly washed out with low contrast and poor color fidelity. Structure is preserved but obscured by haze.,5,5,5,"Excellent Ukiyo_e style transfer: bold outlines, flat color blocks, warm palette, and stylized clouds. Source structure (ships, masts, water) is clearly preserved with minimal artifacts.",1,2,1,Overly desaturated and noisy; Ukiyo_e style nearly absent. Heavy artifacts and loss of detail make structure barely discernible.
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean geometric shapes, strong structure retention, and no visible artifacts.",2,2,2,"Extremely hazy and low-contrast; minimalism absent, structure poorly preserved, heavy artifacts."
Ukiyo_e__hiroshige_hakone-kosuizu__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,Seedream_repaired750,4,2,5,3,"Structure is perfectly preserved, but style transfer is weak and inconsistent; some areas retain source colors while others show faint Renaissance-like textures.",5,4,5,"Strong Early Renaissance style applied with good fidelity to the target’s palette, brushwork, and aged texture. Minor structural softening but overall excellent balance.",3,3,2,Style is partially applied but overly diffuse and washed out; significant artifacts and loss of detail in mountain forms and figures.
Minimalism__william-scott_bowl-white-on-grey-1962__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source structure perfectly but fails to apply Rococo style; output is nearly identical to source with minor border artifacts.,5,3,3,Strongly applies Rococo ornamental style with gold and pastel tones. Structure is distorted — the shield shape is warped and surrounded by decorative elements not present in source. Some blending artifacts at edges.,3,2,2,"Attempts Rococo via texture overlay but results in heavy distortion, noise, and loss of structural integrity. Style is vague and inconsistent; many visual artifacts degrade quality."
Rococo__dmitry-levitzky_portrait-of-unknown-woman-with-a-rose-1788__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very low style transfer; image appears washed out and lacks Ukiyo-e characteristics. Structure is preserved but colors are muted.,5,5,5,Excellent style transfer with clear Ukiyo-e aesthetic. Structure is well-preserved and artifacts are minimal.,3,3,2,Moderate style transfer but with noticeable artifacts and some loss of detail. Structure is somewhat preserved but less clear than Seedream.
Rococo__antoine-pesne_carl-heinrich-graun__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly desaturated and foggy; loses Renaissance color richness and detail. Structure is preserved but obscured by haze.,5,5,5,Excellent match to Early Renaissance palette and texture. Preserves original composition and facial features with no visible artifacts.,2,2,1,Severe over-smoothing and loss of detail. Faces are blurred beyond recognition; structure is poorly preserved. Style is vague and washed out.
Minimalism__joan-hernandez-pijuan_untitled-120-1999__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,"Faint, washed-out red lines; minimal impressionistic texture or brushwork. Structure preserved but style is weak and indistinct.",5,5,5,"Strong impressionistic rendering with visible brushstroke-like textures, warm tonal variation, and faithful structural fidelity. Clean output with no artifacts.",3,3,2,Overly stylized with excessive white fringing and distortion around edges. Style attempt is present but noisy and structurally compromised.
Rococo__giovanni-domenico-tiepolo_the-new-world-1797__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very abstracted, ghostly figures; minimal Renaissance texture or color fidelity; structure is blurred but recognizable.",5,5,5,"Excellent match to Early Renaissance palette, brushwork, and composition; clean output with no visible artifacts.",3,4,3,Moderate style transfer with some color harmony; structure preserved but overly smoothed; slight haze/artifacts present.
