case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,QEdgePattn_e01_style_specificity,QEdgePattn_e01_structure_preservation,QEdgePattn_e01_artifact_control,QEdgePattn_e01_note
Ukiyo_e__keisai-eisen_the-courtesan-kaoru-of-owariya-matched-with-okitsu-1825(1)__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,QEdgePattn_e01,QEdgePattn_e01,QEdgePattn_e01,QEdgePattn_e01,4,2,4,3,Minimal style transfer; retains source aesthetic with slight aging effect. Structure preserved but no Renaissance elements introduced.,4,2,2,"Strong Early Renaissance style applied (fresco-like texture, classical figure pose), but source content is heavily distorted — figure replaced, layout altered. Artifacts include unnatural lighting and loss of original details.",5,5,5,"Excellent balance: source structure fully preserved, Early Renaissance style subtly integrated via parchment texture, muted palette, and aged paper edges. No artifacts or distortions. Best overall result."
Rococo__william-hogarth_the-countess-s-morning-levee__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, low contrast, and washed-out colors; style transfer is weak and indistinct. Structure is somewhat preserved but obscured by haze. Heavy artifacts and loss of detail.",5,5,5,"Excellent match to Early Renaissance style with appropriate color palette, lighting, and texture. Structure is perfectly preserved with no distortion. Clean output with minimal artifacts.",3,4,3,Moderate style transfer attempt; colors are slightly muted but more vibrant than LBM. Structure is well preserved. Some minor artifacts and slight over-smoothing in fabric textures.
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faded, washed-out appearance; lacks minimalism’s crispness and color fidelity. Structure is preserved but overly blurred.",5,5,5,"Excellent match to minimalism: clean edges, uniform color field, no artifacts. Faithfully preserves source structure while applying target style.",3,4,3,Moderate style transfer with slight color shift and softening. Structure mostly preserved but lacks the sharpness and purity of minimalism.
Impressionism__eugene-boudin_trouville-the-fish-market-1884__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure lost in haze.",5,5,5,Clean geometric abstraction with strong compositional fidelity to source; excellent artifact control and clear minimalism.,2,3,2,"Similar to LBM — too diffuse, lacks defined minimal forms, structure obscured by soft blur."
Impressionism__claude-monet_bordighera-the-house-of-gardener__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly washed-out and desaturated; lacks Impressionist color vibrancy and brushwork texture. Structure is somewhat preserved but blurred by noise-like artifacts.,5,5,5,"Excellent Impressionist rendering with rich, varied brushstrokes and color palette. Source structure (houses, trees, sky) is clearly preserved without distortion or artifacts.",3,4,3,"Moderate Impressionist feel with visible texture, but colors are muted and slightly muddy. Structure is well-preserved, but some patchy artifacts reduce overall quality."
Ukiyo_e__utagawa-kuniyoshi_a-record-of-origins-of-the-great-country-of-japan__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; mostly preserves line art with faint color wash. Lacks Impressionist brushwork and texture.,5,5,5,"Strong Impressionist rendering with visible brushstrokes, vibrant colors, and coherent structure. Excellent artifact control.",2,4,3,Similar to LBM — retains sketchy outlines with minimal color/texture. No significant Impressionist stylistic elements.
Impressionism__antoine-blanchard_place-de-la-madeleine-hiver__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Minimal Rococo influence; mostly preserves source structure with slight texture smearing and dark vignetting artifacts.,5,5,5,"Strong Rococo aesthetic via ornate frame, soft pastel palette, and painterly brushwork; excellent structural fidelity and no visible artifacts.",3,4,4,"Moderate Rococo hints (soft tones, light framing), but less cohesive than Seedream; minor edge halos and slight over-smoothing present."
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Weak Rococo styling; overly pastel and washed-out. Structure preserved but lacks ornamental detail. Some blurring and loss of figure definition.,5,5,5,"Excellent Rococo emulation: ornate frame, soft lighting, elegant figures, and decorative motifs. Structure fully preserved with high fidelity. No visible artifacts.",3,4,4,Moderate Rococo feel with some gilding and soft tones. Structure well maintained. Slight over-smoothing and minor color bleeding near edges.
Early_Renaissance__pisanello_stork-1430__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,"Very washed-out, lacks Ukiyo-e color depth and ink contrast; structure preserved but style is too faint.",5,5,5,"Excellent reproduction of the woodblock print aesthetic, maintaining sharp edges and appropriate color palette.",2,4,4,"Similar to LBM, the style is too desaturated and lacks the characteristic texture and vibrancy of the target."
Ukiyo_e__ogata-gekko_nihon-hana-zue-1896__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,QEdgePattn_e01,QEdgePattn_e01,QEdgePattn_e01,QEdgePattn_e01,4,2,3,2,Preserves structure but fails to apply Early Renaissance style; appears as a faded copy with no stylistic transformation.,3,4,3,"Applies some Renaissance-like shading and depth, but introduces dark background and unnatural lighting not present in source; moderate artifacts.",5,5,5,"Successfully merges Early Renaissance chiaroscuro and texture with original composition; clean edges, no distortion, faithful to both style and content."
Impressionism__konstantin-korovin_arctic-ocean-1913__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly smooth, lacks Renaissance texture and depth; structure preserved but style is too generic.",5,5,5,"Excellent match to Early Renaissance palette, brushwork, and atmospheric perspective; clean output with no artifacts.",3,4,3,Moderate style transfer with some edge artifacts; structure mostly intact but lacks full Renaissance richness.
Rococo__canaletto_london-the-thames-and-the-city-of-london-from-the-terrace-of-richmond-house__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Minimal style transfer; mostly grayscale with heavy vignetting. Structure preserved but lacks Rococo color/ornamentation. Artifacts from edge darkening.,5,5,5,"Excellent Rococo style: warm palette, ornate arch framing, soft lighting. Structure faithfully rendered with no visible artifacts. Best overall match.",2,3,2,"Similar to LBM-Knee_e13 — minimal style, heavy vignette, low color saturation. Structure intact but stylistically weak. Edge artifacts present."
Rococo__jean-marc-nattier_portrait-of-louis-tocqu-1762__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure lost in haze.",5,5,5,"Clean vector-like minimalism with sharp edges, accurate pose, no artifacts — best match to target style.",2,3,2,"Similar to LBM — blurry, low contrast, fails to convey minimalism or preserve detail."
Rococo__joseph-wright_d-ewes-coke-his-wife-hannah-and-daniel-parker-coke__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,3,4,"Faint, washed-out output with minimal stylistic interpretation; structure is preserved but lacks clarity or artistic intent.",5,5,3,Strong minimalist vector-style rendering with clean geometry and bold color blocks; structure well-preserved; minor edge artifacts in background.,2,3,4,Similar to LBM — overly blurred and indistinct; fails to convey minimalism; structure faintly visible but degraded.
Impressionism__edouard-manet_tarring-the-boat-1873__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but lacks clarity.",5,5,5,"Excellent minimalism with clean geometry, strong structure retention, and no visible artifacts.",2,3,2,"Similar to LBM — too diffuse, minimalism not well captured, structure faintly preserved, some smudging artifacts."
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very low Rococo style transfer; output resembles faded fresco or watercolor wash with minimal ornamental detail. Structure is partially preserved but heavily blurred and distorted. Significant artifacts including smudging, color bleeding, and loss of fine edges.",5,5,5,"Excellent Rococo style transfer with ornate framing, soft pastel tones, and decorative motifs matching the target reference. Source structure is faithfully preserved with clear architectural elements and figures. Minimal artifacts; clean edges and coherent color palette.",3,4,3,"Moderate Rococo influence with some ornamental framing and soft colors, but lacks richness and detail compared to target. Structure is well-preserved with recognizable buildings and figures. Some minor artifacts in texture blending and edge softness, but overall cleaner than LBM."
Rococo__antoine-pesne_carl-heinrich-graun__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears faded and washed out with minimal Rococo influence. Structure is preserved but lacks color and detail. Heavy vignetting and blur reduce quality.,5,5,5,"Excellent Rococo style transfer with rich colors, ornate background, and soft lighting. Structure is well preserved with clear facial features and clothing details. No visible artifacts.",2,3,2,Minimal style transfer; image is overly blurred and desaturated. Structure is somewhat preserved but lacks clarity. Strong vignette and haze reduce overall quality.
Ukiyo_e__katsushika-hokusai_fishing-in-the-bay-uraga__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint Rococo influence; structure mostly preserved but washed out; heavy vignetting and noise artifacts degrade quality.,5,5,5,Strong Rococo framing and ornate arch; source composition faithfully preserved; clean output with minimal artifacts.,3,4,3,Moderate Rococo texture applied; structure well maintained; some edge smudging and uneven texture application visible.
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but lacks Rococo color and texture; appears as grayscale sketch with minimal stylistic infusion.,5,5,5,"Excellent Rococo styling with soft pastels, ornate details, and painterly texture; structure fully preserved with no visible artifacts.",2,4,3,Similar to LBM — retains line art structure but fails to apply Rococo color or texture; high contrast edges dominate without stylistic depth.
Impressionism__stefan-dimitrescu_cabaret__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy texture and color wash obscure source structure; minimal Rococo elegance or ornamental framing; artifacts from over-smoothing and loss of detail.,5,5,5,"Excellent Rococo framing with ornate border, soft pastel tones, and delicate brushwork; source subject and pose perfectly preserved; no visible artifacts.",3,4,3,Moderate Rococo influence via color palette and soft edges; structure mostly intact but slightly blurred; minor smudging and edge halos present.
Ukiyo_e__hiroshige_oiso-toraga-ame-shower-1835__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very faint impressionistic texture; structure preserved but lacks stylistic depth; noticeable noise and low contrast.,5,5,5,Strong impressionist brushwork with warm tones; excellent structure retention; clean output with minimal artifacts.,3,4,3,Moderate impressionist feel; structure mostly intact; slight over-sharpening and edge artifacts visible.
Rococo__dmitry-levitzky_maria-feodorovna__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly hazy and washed-out; loses Renaissance texture and detail. Structure is preserved but obscured by heavy blur/artifacts.,5,5,5,"Excellent match to Early Renaissance style: rich colors, clear brushwork, proper lighting, and faithful structure. Minimal artifacts.",3,4,3,Better than LBM but still suffers from haze and loss of fine detail. Structure is mostly intact but style is muted and less authentic.
Ukiyo_e__utagawa-kunisada_not_detected_240381(1)__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very weak Rococo influence; structure is somewhat preserved but colors and textures are muddy and inconsistent with target style.,5,5,5,"Excellent Rococo style transfer with rich pastel tones, ornate framing, and faithful preservation of source composition and details. Minimal artifacts.",2,3,2,"Similar to LBM-Knee_e13; lacks strong Rococo characteristics, shows color bleeding and texture distortion, especially around edges and clothing."
Minimalism__robert-ryman_surface-veil-1970__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,4,3,Minimal style transfer; mostly preserves source structure with slight vignetting. No Rococo elements applied.,5,5,5,"Excellent Rococo frame integration, preserves central document structure, clean edges, no artifacts.",2,4,3,Slight darkening/vignette effect but no meaningful Rococo style transfer. Structure preserved but stylistically inert.
Rococo__bernardo-bellotto_view-of-dresden-the-dresden-fortifications-moat-with-a-bridge-between-gate-and-post-mile-pillar__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure lost in haze.",5,5,5,"Strong minimalist aesthetic with clean geometry, bold color blocks, and preserved architectural structure; no visible artifacts.",2,3,2,"Similar to LBM — faint, low-contrast output; minimalism absent, structure barely discernible, heavy noise/artifacts."
Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and painterly; fails to capture minimalism’s clean geometry or flat color blocks. Structure is preserved but obscured by noise-like artifacts.,5,5,5,"Excellent adherence to minimalism: bold flat colors, simplified shapes, geometric abstraction of background elements. Source structure (figure, horse, tree) clearly preserved with stylized clarity. No visible artifacts.",2,3,2,"Similar to LBM — overly soft, smudged, and lacks the crispness of minimalism. Structure is present but degraded by heavy blur and color bleeding. Fails to reflect target style intent."
Rococo__dmitry-levitzky_portrait-of-unknown-woman-with-a-rose-1788__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; lacks Impressionist brushwork texture and color vibrancy. Structure is preserved but obscured by haze.,5,5,5,"Excellent Impressionist rendering with visible brushstrokes, rich color palette, and faithful preservation of facial features and clothing structure. Minimal artifacts.",3,4,3,"Moderate Impressionist feel with some softness and color blending, but less vibrant and textured than Seedream. Structure is well-preserved but slightly muted."
Impressionism__childe-hassam_september-moonrise__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; output is overly blurred and lacks clean geometry or color blocking. Structure is preserved but degraded by noise.,5,5,5,"Excellent minimalism: flat colors, geometric shapes, simplified forms. Structure is cleanly preserved with no artifacts. Best match to target style.",2,3,2,"Similar to LBM — overly textured and noisy, failing to achieve minimalism. Structure is faintly visible but obscured by grainy artifacts."
Ukiyo_e__katsushika-hokusai_cargo-ship-and-wave__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,QEdgePattn_e01,4,2,5,4,Preserves wave structure well but lacks color and texture of Ukiyo-e; appears as a grayscale sketch with minimal stylistic transfer.,5,4,3,"Strongly captures Ukiyo-e aesthetic with rich colors, woodblock texture, and traditional composition; slight softening of edges reduces structural fidelity slightly.",3,4,5,"Clean output with minimal artifacts and good edge preservation; style is muted — mostly monochrome with faint blue tones, lacking full Ukiyo-e richness."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo style transfer; heavy gray wash obscures content and lacks ornamental detail. Structure is partially preserved but degraded by artifacts.,5,5,5,"Excellent Rococo style with soft pastel tones, floral motifs, and elegant framing. Source structure perfectly preserved with minimal artifacts.",3,4,3,"Moderate Rococo influence with some decorative elements, but style is inconsistent and muted. Structure mostly intact with minor smudging artifacts."
Rococo__bernardo-bellotto_pirna-seen-from-the-right-bank-of-the-elbe__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure lost in haze.",5,5,5,"Clean geometric shapes, flat colors, strong compositional clarity — excellent minimalism with full structure retention.",3,4,3,Some edge artifacts and color bleeding; structure mostly preserved but style execution is inconsistent.
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint impressionistic washes but lacks color vibrancy and brushwork; structure is preserved but overly muted.,5,5,5,"Excellent Impressionist style with vibrant colors, visible brushstrokes, and faithful structure preservation. Minimal artifacts.",2,3,2,"Similar to LBM — very pale, washed-out impressionism with poor color saturation and noticeable vertical streaking artifacts."
Minimalism__eva-hesse_expanded-expansion-1969__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Minimal Rococo influence; mostly preserves source structure but lacks ornamental detail. Vignetting and color wash are artifacts.,5,5,5,Excellent Rococo styling with ornate frame and soft pastel tones. Structure of curtains preserved clearly. No visible artifacts.,3,4,3,Some Rococo framing elements present but muted. Curtain structure well preserved. Slight color bleeding and edge smearing as minor artifacts.
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very abstracted, ghostly figures; minimal impressionist texture or color blending; structure is preserved but overly blurred and indistinct.",5,5,5,"Excellent impressionist rendering with visible brushwork, atmospheric lighting, and natural color transitions; source structure fully preserved without distortion or artifacts.",2,3,2,"Similar to LBM — overly smoothed, lacks painterly texture; structure is recognizable but visually flat and artifact-prone in edges and backgrounds."
Early_Renaissance__carlo-crivelli_piet-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Faint impressionistic washes but lacks color and brushwork fidelity; structure preserved but style is weak and blurry.,5,5,5,Strong Impressionist palette and texture; source composition fully preserved with no visible artifacts.,3,4,3,Moderate style transfer with some color shift; structure mostly intact but edges show slight smearing and loss of detail.
Rococo__dmitry-levitzky_maria-feodorovna__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and hazy; loses fine detail and texture. Style is vague, not clearly impressionistic. Structure is preserved but degraded by blur.",5,5,5,Excellent impressionistic brushwork with visible strokes and color blending. Faithful to source structure and oval framing. No artifacts or distortions.,3,4,3,Some impressionistic softness but lacks distinct brushwork. Structure is well-preserved. Mild haze/artifact around edges reduces clarity.
Impressionism__nicolae-vermont_rotterdam-port-1928__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly washed out; lacks color and brushwork fidelity to Impressionism. Structure is preserved but too faint.,5,5,5,Excellent match to Impressionist palette and texture. Ships and shoreline clearly defined with no artifacts.,3,4,3,Moderate style transfer; some color and texture present but muted. Structure is clear but lacks vibrancy.
Ukiyo_e__utagawa-kunisada_not_detected_240353__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, lacks Ukiyo-e color and line clarity; structure is somewhat preserved but blurred; significant loss of detail and style fidelity.",5,5,5,"Excellent Ukiyo-e style transfer with bold lines, flat colors, and traditional composition; source structure perfectly preserved; no visible artifacts.",3,4,3,"Moderate Ukiyo-e feel with some patterned textures, but colors are muted and lines lack definition; structure mostly intact; slight smudging and softness reduce clarity."
Minimalism__frank-stella_gezira-from-black-series-ii-1967__to__Impressionism,Minimalism,Impressionism,QEdgePattn_e01,QEdgePattn_e01,Seedream_repaired750,QEdgePattn_e01,4,2,3,3,"Faint, washed-out impressionistic texture; structure preserved but style is weak and lacks color/brushwork fidelity.",3,5,4,"Strong geometric structure retention; some stylization applied but overly rigid and high-contrast, lacking softness of Impressionism.",5,4,5,"Best balance: retains core structure while applying visible, textured brushstroke-like patterns consistent with Impressionist style; minimal artifacts."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low-contrast output with minimal Ukiyo-e characteristics; structure is preserved but lacks stylistic fidelity and clarity.",5,5,5,"Excellent Ukiyo-e style transfer with clear line work, appropriate color palette, and strong preservation of original composition and details; no visible artifacts.",3,4,3,"Moderate Ukiyo-e styling with some line definition and color treatment, but overly hazy and low-contrast; structure is mostly intact but suffers from softness and reduced detail."
Minimalism__ellsworth-kelly_diagonal-1951__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,1,5,5,"Perfectly preserves the diagonal line and frame structure with no artifacts, but completely fails to apply any Rococo style — output is blank/white.",5,3,3,"Strongly applies Rococo ornamental patterns and color palette; however, the diagonal line is distorted and partially obscured by decorative elements, indicating moderate structure loss.",1,5,5,"Identical to LBM-Knee_e13 — perfect structure and zero artifacts, but zero style transfer applied."
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very faint, washed-out style; lacks Ukiyo-e linearity and color contrast. Structure preserved but style is nearly absent.",5,5,5,"Strong Ukiyo-e aesthetic: bold outlines, flat color planes, stylized clouds and foliage. Excellent structure retention and clean output.",3,4,4,"Moderate Ukiyo-e influence with some linearity and muted tones, but less defined than Seedream. Slight softness in edges and colors."
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,3,4,3,Moderate impressionistic brushwork but overly hazy and washed-out; loses color vibrancy and some structural clarity.,5,5,5,"Excellent Impressionist style with visible brushstrokes, rich color palette, and well-preserved structure and detail.",3,4,3,Some impressionistic texture but suffers from ghosting artifacts and muted colors; structure mostly intact but visually noisy.
Ukiyo_e__utagawa-toyokuni_the-heian-courtier__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Minimal style transfer; retains source aesthetic with slight texture overlay. Structure preserved but lacks Renaissance architectural or compositional elements. Artifacts from patchy blending.,5,5,5,"Excellent Early Renaissance style integration: classical architecture, perspective, and figure rendering match target. Source subject faithfully preserved with natural lighting and depth. No visible artifacts.",2,3,2,"Similar to LBM-Knee_e13 — minimal stylistic change, mostly texture aging applied. Structure intact but no Renaissance features. Edge artifacts and uneven tonal transitions present."
Impressionism__rudolf-schweitzer-cumpana_str-du-n-atena__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly washed-out and pale; loses color saturation and texture detail of Impressionism. Structure is somewhat preserved but lacks vibrancy.,5,5,5,"Excellent match to Impressionist style: rich brushwork, vibrant colors, soft edges, and faithful preservation of source structure with no visible artifacts.",3,4,3,"Moderate style transfer with some brushstroke texture, but colors are muted and slightly unnatural. Structure is well-preserved but lacks the luminosity of true Impressionism."
Minimalism__judy-chicago_morning-fan-1971__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Minimal Rococo influence; mostly preserves source structure with soft blur and color shifts. Lacks ornamental detail or stylistic fidelity.,5,5,5,"Excellent Rococo frame integration with high structural fidelity to source content. Clean edges, no artifacts, strong stylistic match.",2,3,3,"Similar to LBM-Knee_e13 — minimal Rococo styling, slight color blending, no ornamental elements. Structure preserved but style absent."
Rococo__francois-boucher_portrait-of-madame-boucher-1745__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak impressionist style; frame and portrait details are blurred and distorted with heavy noise artifacts.,5,5,5,Excellent impressionist brushwork and color harmony; frame and portrait structure perfectly preserved with no visible artifacts.,3,4,3,"Moderate impressionist feel but overly smooth and painterly; frame edges slightly softened, minor texture loss."
Minimalism__tony-smith_die-1968__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; cube appears frosted with no Rococo elements. Structure preserved but lacks stylistic fidelity.,5,5,5,"Excellent Rococo style transfer with ornate floral tapestry pattern, matching background ambiance, and clean structural integrity. No visible artifacts.",2,4,3,"Similar to LBM-Knee_e13 — minimal style application, mostly uniform shading. Structure intact but no Rococo characteristics."
Ukiyo_e__tsukioka-yoshitoshi_not_detected_242419__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Early Renaissance style; heavy texture artifacts distort content; structure partially preserved but visually noisy.,5,5,5,"Excellent Early Renaissance style transfer with faithful structure and minimal artifacts; clean, coherent output.",3,4,3,Moderate style fidelity; structure well preserved; some edge artifacts and slight color distortion present.
Ukiyo_e__hiroshige_oiso-toraga-ame-shower-1835__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly washed out, loses color and detail; minimalism not well captured, appears faded rather than stylized.",5,5,5,"Excellent minimalism: clean lines, bold flat colors, strong contrast, preserves key structural elements like trees and figures with stylized clarity.",3,3,3,"Moderate success; some color retention but overly soft and blurry, lacks crispness of true minimalism; structure partially preserved but details lost."
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,4,5,Minimal style transfer; mostly preserves source structure with faint Rococo hints. Very clean output but lacks stylistic fidelity.,5,4,3,Strong Rococo style integration with ornate frame and decorative elements. Structure is well-preserved with minor warping at edges. Some soft artifacts around borders.,2,4,5,"Similar to LBM-Knee_e13 — minimal style application, clean structure, no visible artifacts. Fails to convey Rococo characteristics."
Minimalism__fernando-lanhas_o39-68-1968__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Fails to capture minimalism; overly washed out and lacks contrast. Structure is partially preserved but colors are muted and unnatural.,5,5,5,Perfectly captures the minimal aesthetic with clean lines and high contrast. Structure is fully preserved with no artifacts.,3,4,4,Moderate success in style transfer; structure is well preserved but lacks the bold contrast of minimalism. Some slight artifacts in shading.
